round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,model,num_clients,run_id,alpha
12,2,1,train,0.1931678405044452,0.9471289274106176,0.9443087902749536,0.7986998916576381,0.808993277252521,DistilBART,5,20250824_054950,0.1
12,3,1,train,0.2147784604331349,0.9367441860465116,0.93858396200405,0.7748837209302326,0.8342164738659211,DistilBART,5,20250824_054950,0.1
12,0,1,train,0.2843316487497955,0.9086918349429324,0.927314760411588,0.7611940298507462,0.8131213029870528,DistilBART,5,20250824_054950,0.1
12,4,1,train,0.2717349908568642,0.9210740439381612,0.9699081305757749,0.7485760781122864,0.8399716266932681,DistilBART,5,20250824_054950,0.1
12,1,1,train,0.2811533600252903,0.9150579150579152,0.929479715668797,0.759073359073359,0.8084818842470686,DistilBART,5,20250824_054950,0.1
12,-1,1,validation,0.0755914862477653,0.6610079575596817,0.7086528816118814,0.6610079575596817,0.6568259954212162,DistilBART,5,20250824_054950,0.1
13,0,1,train,0.2554019396976681,0.9192273924495172,0.9290607350393948,0.7799239098624524,0.8257947225968857,DistilBART,5,20250824_054950,0.1
13,4,1,train,0.2276604371750122,0.9373474369406022,0.9685429248339144,0.80553295362083,0.8729892678513081,DistilBART,5,20250824_054950,0.1
13,3,1,train,0.1884831284117507,0.950077519379845,0.9487574408577784,0.7655813953488372,0.8343582137255702,DistilBART,5,20250824_054950,0.1
13,1,1,train,0.2545051206029767,0.9231660231660233,0.91215237202514,0.7733590733590734,0.8074746291245505,DistilBART,5,20250824_054950,0.1
13,2,1,train,0.1707700889196672,0.952979414951246,0.9510540653263304,0.7963163596966414,0.8146752396139171,DistilBART,5,20250824_054950,0.1
13,-1,1,validation,0.0760733945438495,0.6660477453580902,0.7047875526519948,0.6660477453580902,0.6619698482709397,DistilBART,5,20250824_054950,0.1
14,4,1,train,0.2108079917825661,0.9422294548413344,0.9689240851115796,0.8340113913751017,0.8899620675505763,DistilBART,5,20250824_054950,0.1
14,3,1,train,0.1740988807171804,0.9531782945736434,0.9544461106501272,0.7972093023255814,0.8602368455201468,DistilBART,5,20250824_054950,0.1
14,1,1,train,0.2489554416273295,0.9270270270270272,0.9154517393853228,0.784942084942085,0.8212620675668044,DistilBART,5,20250824_054950,0.1
14,0,1,train,0.2353411121359182,0.9177641205736026,0.935142319520765,0.7787532923617209,0.8224218995075767,DistilBART,5,20250824_054950,0.1
14,2,1,train,0.1570962507706328,0.9551462621885156,0.9559931359401428,0.8075839653304442,0.833069974625664,DistilBART,5,20250824_054950,0.1
14,-1,1,validation,0.0762194593474071,0.66657824933687,0.7129866687224409,0.66657824933687,0.6652979889708007,DistilBART,5,20250824_054950,0.1
15,1,1,train,0.2168085926189374,0.9362934362934362,0.9254971045677663,0.803088803088803,0.8371342239166286,DistilBART,5,20250824_054950,0.1
15,4,1,train,0.2112352342719768,0.938974776240846,0.968865363189808,0.7510170870626526,0.8385804673197272,DistilBART,5,20250824_054950,0.1
15,2,1,train,0.1425354735423072,0.9590465872156012,0.963258142805147,0.8366197183098592,0.8574147173779029,DistilBART,5,20250824_054950,0.1
15,0,1,train,0.2113856964561844,0.9271290605794557,0.9447633528221138,0.797190517998244,0.8451178028133821,DistilBART,5,20250824_054950,0.1
15,3,1,train,0.1521283729223184,0.9593798449612404,0.9626136451773344,0.808062015503876,0.8703190903902457,DistilBART,5,20250824_054950,0.1
15,-1,1,validation,0.0774292912502187,0.6679045092838196,0.7172552890388787,0.6679045092838196,0.6691681602890099,DistilBART,5,20250824_054950,0.1
16,2,1,train,0.1240014962652201,0.9609967497291442,0.964618969112985,0.8420368364030336,0.868442881082472,DistilBART,5,20250824_054950,0.1
16,4,1,train,0.2089349093496219,0.9397884458909682,0.9726681833699896,0.7339300244100895,0.8295077574369291,DistilBART,5,20250824_054950,0.1
16,0,1,train,0.1947542556439674,0.9338601112086624,0.953389542090862,0.8448931811530582,0.8845621043948139,DistilBART,5,20250824_054950,0.1
16,3,1,train,0.1393608653290879,0.9627906976744184,0.9615895840939048,0.826046511627907,0.8803035849817614,DistilBART,5,20250824_054950,0.1
16,1,1,train,0.2043914465710842,0.9355212355212356,0.9261146209883372,0.783011583011583,0.8226358191908755,DistilBART,5,20250824_054950,0.1
