model,num_clients,run_id,alpha,client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19
BART-large,9,20250825_233032,0.1,8.0,1732.0,1.2850595860767224,0.0,1.0,0.0,272.0,3.0,138.0,155.0,0.0,300.0,25.0,0.0,0.0,741.0,3.0,4.0,61.0,0.0,6.0,0.0,23.0
BART-large,6,20250826_130925,0.5,0.0,2437.0,0.4955817157405249,14.0,82.0,128.0,1.0,123.0,354.0,41.0,562.0,6.0,182.0,205.0,29.0,66.0,137.0,138.0,65.0,36.0,10.0,234.0,24.0
BART-large,6,20250826_130925,0.5,1.0,2790.0,0.6867426372287363,44.0,427.0,183.0,29.0,94.0,3.0,40.0,8.0,12.0,32.0,148.0,24.0,307.0,538.0,1.0,49.0,484.0,29.0,40.0,298.0
BART-large,6,20250826_130925,0.5,2.0,2393.0,0.8806010485661218,569.0,1.0,16.0,2.0,14.0,3.0,76.0,1.0,664.0,41.0,186.0,18.0,87.0,24.0,188.0,128.0,51.0,285.0,35.0,4.0
BART-large,6,20250826_130925,0.5,3.0,2246.0,0.5567001834899801,1.0,229.0,410.0,234.0,0.0,154.0,2.0,156.0,53.0,21.0,2.0,391.0,163.0,69.0,97.0,154.0,0.0,21.0,77.0,12.0
BART-large,6,20250826_130925,0.5,4.0,2913.0,0.7142461397635861,3.0,34.0,16.0,2.0,483.0,4.0,594.0,49.0,51.0,512.0,16.0,31.0,10.0,11.0,311.0,350.0,89.0,159.0,95.0,93.0
BART-large,6,20250826_130925,0.5,5.0,2297.0,0.5700293209262832,8.0,5.0,35.0,518.0,56.0,272.0,27.0,16.0,11.0,7.0,242.0,300.0,154.0,13.0,55.0,52.0,68.0,248.0,139.0,71.0
BART-large,6,20250825_164159,0.1,0.0,2667.0,1.1502315758304928,0.0,16.0,28.0,234.0,648.0,615.0,700.0,0.0,0.0,103.0,212.0,0.0,16.0,2.0,4.0,1.0,1.0,0.0,87.0,0.0
BART-large,6,20250825_164159,0.1,1.0,4089.0,0.9882436329505544,0.0,553.0,191.0,261.0,7.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,538.0,790.0,4.0,0.0,679.0,0.0,523.0,492.0
BART-large,6,20250825_164159,0.1,2.0,4017.0,0.9315750042036772,639.0,0.0,468.0,291.0,90.0,0.0,0.0,784.0,796.0,0.0,139.0,0.0,40.0,0.0,136.0,22.0,5.0,607.0,0.0,0.0
BART-large,6,20250825_164159,0.1,3.0,1074.0,1.422428858364228,0.0,209.0,101.0,0.0,25.0,10.0,0.0,8.0,1.0,0.0,0.0,476.0,193.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
BART-large,6,20250825_164159,0.1,4.0,1601.0,1.896600048212192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,0.0,1.0,724.0,29.0,144.0,3.0,8.0
BART-large,6,20250825_164159,0.1,5.0,1628.0,1.4615645912861022,0.0,0.0,0.0,0.0,0.0,165.0,80.0,0.0,0.0,0.0,397.0,317.0,0.0,0.0,645.0,0.0,14.0,1.0,7.0,2.0
BART-large,3,20250825_101220,0.1,0.0,6327.0,0.5509799294313457,0.0,0.0,8.0,0.0,728.0,790.0,332.0,181.0,0.0,690.0,799.0,711.0,503.0,269.0,789.0,0.0,216.0,243.0,68.0,0.0
BART-large,3,20250825_101220,0.1,1.0,3898.0,0.9444632969266912,0.0,3.0,780.0,0.0,42.0,0.0,14.0,343.0,792.0,104.0,0.0,82.0,28.0,403.0,1.0,775.0,2.0,502.0,26.0,1.0
