model,training_type,num_clients,run_id,timestamp,round,client_id,epoch,phase,loss,accuracy,precision,recall,f1_score
BART-Large,Federated,2,20250826_041211,20250826_041211,16,1,1,train,0.13359409958887478,0.9566469093988146,0.9692380463437629,0.9671464860287892,0.9672849825297025
BART-Large,Federated,2,20250826_041211,20250826_041211,16,-1,1,validation,0.1501214702176747,0.7726790450928382,0.7790969855905935,0.7726790450928382,0.7728350905372231
BART-Large,Federated,2,20250826_041211,20250826_041211,17,0,1,train,0.13008276306278932,0.9587831207065751,0.970647048605294,0.9666339548577036,0.967516525201315
BART-Large,Federated,2,20250826_041211,20250826_041211,17,1,1,train,0.1365286658350305,0.9590177815410669,0.9713571368073155,0.9698560541913632,0.970091984992948
BART-Large,Federated,2,20250826_041211,20250826_041211,17,-1,1,validation,0.1488283596240958,0.7676392572944297,0.7770070448455413,0.7676392572944297,0.7688379696601377
BART-Large,Federated,2,20250826_041211,20250826_041211,18,0,1,train,0.12491321388925178,0.9599825537018863,0.9716710646615833,0.9692508995747465,0.969839748582479
BART-Large,Federated,2,20250826_041211,20250826_041211,18,1,1,train,0.12371270227235866,0.9617273497036409,0.969583311103104,0.9657917019475021,0.9663456820841982
BART-Large,Federated,2,20250826_041211,20250826_041211,18,-1,1,validation,0.1482394334787811,0.7710875331564987,0.7770273768915343,0.7710875331564987,0.7713420549537864
BART-Large,Federated,2,20250826_041211,20250826_041211,19,0,1,train,0.11928479034911464,0.962381419692509,0.9582725436506195,0.9536582706356995,0.9543730826790442
BART-Large,Federated,2,20250826_041211,20250826_041211,19,1,1,train,0.12280947877267355,0.96155800169348,0.9643600533309492,0.9620660457239627,0.9623901758629766
BART-Large,Federated,2,20250826_041211,20250826_041211,19,-1,1,validation,0.1585444418804506,0.7652519893899205,0.7771053725975061,0.7652519893899205,0.7673585802874581
BART-Large,Federated,2,20250826_041211,20250826_041211,20,1,1,train,0.1258930526292569,0.9602032176121931,0.9734467345701276,0.9725656223539373,0.9726926707154714
BART-Large,Federated,2,20250826_041211,20250826_041211,20,0,1,train,0.12173076909417549,0.9617271835132483,0.9665947529557072,0.962381419692509,0.9631196485966736
BART-Large,Federated,2,20250826_041211,20250826_041211,20,-1,1,validation,0.16125935122906826,0.7724137931034483,0.7805340819127864,0.7724137931034483,0.7729312109673109
BART-Large,Federated,2,20250826_041211,20250826_041211,21,1,1,train,0.1168522370841311,0.9647756138865369,0.9685630618684127,0.9661303979678239,0.9666864594155544
BART-Large,Federated,2,20250826_041211,20250826_041211,21,0,1,train,0.11754026799845246,0.9637989314142406,0.9717199372345442,0.9684876240322756,0.9692341500234583
BART-Large,Federated,2,20250826_041211,20250826_041211,21,-1,1,validation,0.15830808301381855,0.7660477453580902,0.7717503913829034,0.7660477453580902,0.7661140262064656
BART-Large,Federated,2,20250826_041211,20250826_041211,22,1,1,train,0.10900039273718914,0.9657917019475021,0.9737391003797831,0.9720575783234547,0.9722912127460044
BART-Large,Federated,2,20250826_041211,20250826_041211,22,0,1,train,0.11832574222963528,0.9636898920510304,0.9738646922426855,0.9701232144804275,0.9709686922707821
BART-Large,Federated,2,20250826_041211,20250826_041211,22,-1,1,validation,0.15549505698989918,0.7761273209549071,0.783004245162463,0.7761273209549071,0.7767494562802894
BART-Large,Federated,3,20250826_061812,20250826_061812,1,0,1,train,1.0899536716531508,0.6819429778247096,0.79724215859383,0.7953537486800423,0.7884171399314458
BART-Large,Federated,3,20250826_061812,20250826_061812,1,2,1,train,1.3543514257218845,0.5806632939853851,0.7564969863961142,0.7270001873711823,0.7076394056698376
BART-Large,Federated,3,20250826_061812,20250826_061812,1,1,1,train,1.1668863761277435,0.6510791366906474,0.7925026138812087,0.7877697841726619,0.7607005230213654
