round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,source_file
11,-1,-1,validation,1.2037080641051874,0.7313300927971719,0.7435183026070115,0.7313300927971719,0.7335011195467487,training_metrics_centralized_20250806_132751.csv
12,-1,12,train,0.13499726012833302,0.9608882996353995,0.9634892972449411,0.9608882996353995,0.961569698765587,training_metrics_centralized_20250806_132751.csv
12,-1,-1,validation,1.2446640411123646,0.7366327883340699,0.748491235664894,0.7366327883340699,0.7388000339951185,training_metrics_centralized_20250806_132751.csv
13,-1,13,train,0.12603927682375604,0.9638713954259198,0.9669245723010388,0.9638713954259198,0.9647028250366703,training_metrics_centralized_20250806_132751.csv
13,-1,-1,validation,1.2798489004640112,0.7304463102076889,0.745442825354625,0.7304463102076889,0.7329538550280393,training_metrics_centralized_20250806_132751.csv
14,-1,14,train,0.11838642217858748,0.9653077008065407,0.9678326601850701,0.9653077008065407,0.9659716195889437,training_metrics_centralized_20250806_132751.csv
14,-1,-1,validation,1.266333277593737,0.7304463102076889,0.7410440430830713,0.7304463102076889,0.7322595818838599,training_metrics_centralized_20250806_132751.csv
15,-1,15,train,0.10703133444459953,0.9696166169484035,0.9716621926602483,0.9696166169484035,0.9701366848172596,training_metrics_centralized_20250806_132751.csv
15,-1,-1,validation,1.2830274832299615,0.7361908970393283,0.7492388398911406,0.7361908970393283,0.7386550012286767,training_metrics_centralized_20250806_132751.csv
16,-1,16,train,0.11616912247127048,0.966412551099326,0.9690593982184013,0.966412551099326,0.9671344792337287,training_metrics_centralized_20250806_132751.csv
16,-1,-1,validation,1.3186948657675084,0.7344233318603623,0.7403898775721223,0.7344233318603623,0.7331864401760337,training_metrics_centralized_20250806_132751.csv
17,-1,17,train,0.11232044404791544,0.966191581040769,0.96977443629794,0.966191581040769,0.9671776500931576,training_metrics_centralized_20250806_132751.csv
17,-1,-1,validation,1.3437310143081018,0.7348652231551038,0.743200277077551,0.7348652231551038,0.7352789652550604,training_metrics_centralized_20250806_132751.csv
18,-1,18,train,0.10536140763102504,0.9685117666556181,0.9715462565083067,0.9685117666556181,0.9693190769359662,training_metrics_centralized_20250806_132751.csv
18,-1,-1,validation,1.3550537604414497,0.7392841361025188,0.747743139496408,0.7392841361025188,0.7380247490181141,training_metrics_centralized_20250806_132751.csv
19,-1,19,train,0.10963409235461347,0.9655286708650977,0.9677591939483817,0.9655286708650977,0.9661231384394539,training_metrics_centralized_20250806_132751.csv
19,-1,-1,validation,1.390925066366869,0.7322138753866548,0.751142431095719,0.7322138753866548,0.7361267352779318,training_metrics_centralized_20250806_132751.csv
20,-1,20,train,0.11314960808211208,0.966412551099326,0.9702005047848042,0.966412551099326,0.9674384414608939,training_metrics_centralized_20250806_132751.csv
20,-1,-1,validation,1.4218993574209542,0.7375165709235528,0.748693782686713,0.7375165709235528,0.7395289304910341,training_metrics_centralized_20250806_132751.csv
21,-1,21,train,0.09667888412542285,0.97138437741686,0.9742729332509894,0.97138437741686,0.9721461972722962,training_metrics_centralized_20250806_132751.csv
21,-1,-1,validation,1.43939518049695,0.7291206363234645,0.7383961484170894,0.7291206363234645,0.7314000531493602,training_metrics_centralized_20250806_132751.csv
